id,title,genres,averageRating,numVotes,releaseYear
tt0096870,"Going Overboard",Comedy,1.8,14716,1989
tt0059464,"Monster a Go-Go","Horror, Sci-Fi",1.8,10107,1965
tt10888594,Radhe,"Action, Crime, Thriller",1.9,180257,2021
tt1213644,"Disaster Movie","Comedy, Sci-Fi",1.9,95344,2008
tt7431594,"Race 3","Action, Crime, Thriller",1.9,48986,2018
tt0339034,"From Justin to Kelly","Comedy, Music, Musical",1.9,27115,2003
tt0054673,"The Beast of Yucca Flats","Horror, Sci-Fi",1.9,10499,1961
tt7668842,"Enes Batur: Imagination or Reality?",Comedy,2,56194,2018
tt0804492,"The Hottie & the Nottie","Comedy, Romance",2,39296,2008
tt19857862,"Now or Never!","Adventure, Biography, Drama",2,16394,2024
tt0317676,"House of the Dead","Action, Adventure, Horror",2.1,38941,2003
tt7255568,"Student of the Year 2","Action, Comedy, Drama",2.2,22934,2019
tt17444636,"Final Draft","Comedy, Drama, Romance",2.2,18999,2022
tt0193524,"The Star Wars Holiday Special","Adventure, Family, Musical",2.2,17266,1978
tt8366590,"Baaghi 3","Action, Adventure, Thriller",2.2,14165,2020
tt0089280,Hobgoblins,"Comedy, Horror, Sci-Fi",2.2,12600,1988
tt0362165,"Son of the Mask","Comedy, Family, Fantasy",2.3,60096,2005
tt1754700,"The Prototype","Action, Sci-Fi, Thriller",2.3,43322,2022
tt11873440,"Heropanti 2","Action, Comedy, Crime",2.3,27723,2022
tt0785077,"Who's Your Caddy?","Comedy, Sport",2.3,15638,2007
tt0799949,"Epic Movie","Adventure, Comedy, Fantasy",2.4,110352,2007
tt0369226,"Alone in the Dark","Action, Horror, Sci-Fi",2.4,47395,2005
tt0118589,Glitter,"Drama, Music, Romance",2.4,24193,2001
tt6910020,"Nothing to Lose","Biography, Drama",2.4,23137,2018
tt0185183,"Battlefield Earth","Action, Adventure, Sci-Fi",2.5,83885,2000
tt1098327,"Dragonball Evolution","Action, Adventure, Fantasy",2.5,80282,2009
tt10350922,Laxmii,"Action, Comedy, Horror",2.5,59039,2020
tt11762434,"Cosmic Sin","Action, Sci-Fi",2.5,15376,2021
tt14121726,"Jeepers Creepers: Reborn","Horror, Mystery, Thriller",2.5,15287,2022
tt1350498,"Mega Shark vs. Giant Octopus","Action, Adventure, Comedy",2.5,11367,2009
